SchoolYear,Total Enrolled in an IHE within 0-48 months,Total % Enrolled in an IHE within 0-48 months,Total Accumulating 24 Credits within 0-12 months,Total % Accumulating 24 Credits  within 0-12 months,Total Accumulating 24 Credits within 0-16 months,Total % Accumulating 24 Credits  within 0-16 months,Total Accumulating 24 Credits within 0-24 months,Total % Accumulating 24 Credits  within 0-24 months,ISD Code,ISD OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,IHE Type,Subgroup,Gender,Total Graduates (All Students),Total Enrolled in an IHE within 0-6 months,Total % Enrolled in an IHE within 0-6 months,Total Enrolled in an IHE within 0-12 months,Total % Enrolled in an IHE within 0-12 months,Total Enrolled in an IHE within 0-16 months,Total % Enrolled in an IHE within 0-16 months,Total Enrolled in an IHE within 0-24 months,Total % Enrolled in an IHE within 0-24 months,Total Enrolled in an IHE within 0-36 months,Total % Enrolled in an IHE within 0-36 months
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Economically Disadvantaged,All Students,103,17,16.5049,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,Economically Disadvantaged,All Students,103,38,36.8932,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,Students With Disabilities,All Students,22,<10,18.1818,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,Hispanic/Latino,Male,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,White,All Students,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,Female,49,10,20.4082,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,Male,61,<10,11.4754,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Hispanic/Latino,Male,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Economically Disadvantaged,All Students,103,21,20.3884,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,English Learners,All Students,<10,<10,>95%,,,,,,,,
